Дата публикации вакансии,Архивная вакансия,Должностные обязанности,Работодатель,Ссылка на вакансию,Заработная плата от,Заработная плата до,Заработная плата,Город,Название вакансии
2025-02-14,нет,"Обязанности:
• Сбор, обработка и анализ данных из различных источников (базы данных, API, логи, внешние источники).
• Разработка и автоматизация отчётов, построение дашбордов.
• Формирование и проверка гипотез, проведение A/B-тестов.
• Выявление закономерностей, поиск инсайтов и подготовка аналитических выводов.
• Взаимодействие с командой разработки, продуктологами и маркетологами для принятия решений на основе данных.
• Оптимизация существующих процессов работы с данными.
Требования:
• Опыт работы аналитиком данных, BI-аналитиком или в смежной области от 1 года.
• Уверенное знание SQL (написание сложных запросов, работа с джойнами, оконными функциями).
• Опыт работы с инструментами визуализации (Tableau, Power BI, Metabase или аналогами).
• Понимание принципов A/B-тестирования и статистического анализа.
• Базовые навыки работы с Python (pandas, matplotlib, seaborn) для анализа данных.
• Навыки работы с большими объёмами данных и их оптимизации.
• Умение формулировать выводы на основе данных и объяснять их бизнес-команде.
Будет плюсом:
• Опыт работы с хранилищами данных (ClickHouse, BigQuery, Redshift).
• Опыт работы с BI-инструментами и построением аналитических витрин.
• Понимание машинного обучения или опыт работы с ML-моделями.
Условия:
• Удалённая или гибридная работа.
• Белая зарплата, обсуждается индивидуально.
• Работа в команде опытных аналитиков и data-специалистов.
• Возможность профессионального роста и развития.
• Доступ к обучению, конференциям и курсам.",Стажер СуперДжоб,https://rnd.superjob.ru/vakansii/analitik-dannyh-50408485.html,0,70000,70000,Ростов-на-Дону,Аналитик данных
2025-02-15,нет,"ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ :
• Разработкой регламентирующих документов по профилю деятельности (описание технологий, способов промежуточного контроля и контроля результата, разработка метрик процесса)
• Созданием заявок на автоматизацию (разработкой новых и доработкой существующих информационных систем)
• Участием в реализации ИТ-проектов со стороны заказчика
• Моделированием численности предприятия: подготовкой нагрузочных моделей, хронометраж деятельности подразделений
• Разработкой обучающих материалов по действующим технологиям
• Участием в разработке новых продуктов предприятия
• Улучшением клиентского опыта
• Поиском ""узких мест"" и оптимизацией деятельности предприятия 

ВЫ НАМ ПОДХОДИТЕ, ЕСЛИ :
• Образование: высшее профессиональное
• Опыт работы: возможно трудоустройство без опыта работы с обучение в процессе производственной деятельности (6 месяцев)
• Предусмотрено входное тестирование по математике (уровень ЕГЭ)
• Работа на современном оборудовании в среде Lotus Notes, моделирование процессов осуществляется в ARIS, используемые нотации EPC и BPMN 2.0
 На данную позицию проводится обучение в течение 6 месяцев, с последующей выдачей диплома о профессиональной переподготовке
 
МЫ ПРЕДЛАГАЕМ :

• График работы: 5/2
• Стабильная официальная заработная плата (3 раза в месяц: оклад и премия)
• Оформление по ТК РФ
• Ежегодный медосмотр 
• Льготное корпоративное питание
• Компенсация фитнес-абонемента
• Оплачиваемый отпуск и оплата больничных листов
• Корпоративные мероприятия
• Программы лояльности от компаний-партнеров
Предприятия аэропорта Домодедово включены в список организаций, ведущих бронирование граждан, пребывающих в запасе. На всех Предприятиях ведется работа по оформлению бронирования работников.

МЕСТО РАБОТЫ: ТЕРРИТОРИЯ АЭРОПОРТА ДОМОДЕДОВО",Московский аэропорт Домодедово,https://www.superjob.ru/vakansii/biznes-analitik-45351371.html,80000,0,80000,Москва,Бизнес-аналитик
2025-02-11,нет,"Обязанности:
• осуществляет работу по внедрению системы «Авторасписание», поддерживает ее функционирование, составляет расписание, используя возможности системы; 
• осуществляет работу по функционированию системы АС «Нагрузка», вносит необходимые изменения в базу в течение учебного года;
• участвует в заполнении электронного расписания, размещенного на официальном сайте образовательной организации в информационно-телекоммуникационной сети «Интернет»;
• ведет ежемесячный учет выполнения бюджетной и внебюджетной учебной и другой педагогической нагрузки каждым преподавателем, совместителем;
• участвует в разработке положений, методических рекомендаций и других нормативных документов, регламентирующих организацию и обеспечение учебного процесса в институте
Требования:
• опыт работы в ВУЗе; 
• знание нормативной базы высшего образования;
• отличное владение компьютером 
Условия:
• испытательный срок - 3 месяца; 
• оформление в соответствии с ТК РФ;
• офис, оборудованное рабочее место;
• график работы: 5-дневная рабочая неделя, ПН-ЧТ 9:00-18:00, ПТ 9:00-16:45 (обед 13:15-14:00);
• социальные гарантии: ежегодный основной отпуск (28 календарных дней);
• оплачиваемый больничный лист;
• своевременные выплаты",Санкт-Петербургский государственный институт культуры,https://spb.superjob.ru/vakansii/veduschij-analitik-uchebno-organizacionnogo-otdela-49706672.html,45000,56000,45000,Санкт-Петербург,Ведущий аналитик учебно-организационного отдела
2025-02-15,нет,"Внимание - жилье и переезд компания не обеспечивает.
Обязанности:
· Организация и исполнение правильного и своевременного проведения лабораторных анализов;
· Приготовление растворов нужной концентрации;
· Обсчет и оформление результатов испытаний, ведение рабочей документации;
· Разработка и сопровождение методик определения металлов в разных средах;
· Ведение документации по расходу кислот и реактивов;
· Выезд в командировки для пуско-наладки оборудования и консультации персонала Заказчика по работе на поставляемом оборудовании.
Условия работы:
• Трудоустройство по ТК РФ (больничный, ежегодная индексация зарплаты, отпуск 28 дней) + Оплата проезда + Квартальные премии; 
• Помощь и поддержка на всех этапах работы;
• Место работы: Метро Ховрино, ул. Бусиновская горка, д.1, и Метро Алтуфьево, Алтуфьевское ш.,. 79Ас2;
• График работы: Пн. – Чт.: 8.30 - 17.30, Пт.: 8.30 - 15.00.
Требования:
• Образование: средне-специальное, высшее;
• Знакомство с атомно-абсорбционным методом определения металлов;
• Внимательность, аккуратность и ответственность;
• Возможность ездить в командировки по разным регионам РФ.",Союзцветметавтоматика им. Топчаева В. П.,https://www.superjob.ru/vakansii/veduschij-himik-analitik-49949649.html,70000,0,70000,Москва,Ведущий химик-аналитик
2025-02-14,нет,"Обязанности:
• Проведение простых и сложных анализов с применением средств измерения и испытательного оборудования по установленным методикам;
• Проведение подготовки проб пищевой и парфюмерно-косметической продукции в соответствии с методиками исследований;
• Приготовление растворов, построение градуировочных графиков, контроль стабильности градуировок;
• Подготовка лабораторного оборудования для выполнения испытаний/измерений;
• Проведение исследований продукции физико-химическими методами, рН-метрии, спектрометрии, флуориметрии, ГХ, ВЭЖХ, титриметрии, гравометрия и т.д.;
• Обработка и анализ полученных результатов
• Ведение всех сопутствующих журналов лаборатории
• Выполнение требований системы менеджмента качества испытательной лаборатории
• Участие во внутренних аудитах, ВЛК и МСИ, процедурах расширения области аккредитации и подтверждения компетентности испытательной лаборатории
• Испытания продукции проводятся на соответствии требований ТР ТС, ГОСТ, СанПиН.
Требования:
• Образование высшее, средне-профессиональное или дополнительное профессиональное образование;
• Опыт работы не менее 2 года;
• Практические навыки работы;
• Базовые знания аналитической химии;
• Владение методами статистической обработки результатов анализа;
• Опыт работы в аккредитованной лаборатории приветствуется (ЕСЛИ ЕСТЬ);
• Внимательность, исполнительность, желание развиваться;
• Уверенное владение ПК, Word, Excel;
• Пунктуальность;
• Ответственность;
• Способность к работе в режиме многозадачности.
Условия:
• Оформление строго по ТК РФ (оплачиваемый отпуск, больничный, фиксированный оклад);
• Ежеквартальные премии по итогам выполненных объемов работ;
• Карьерный рост;
• Предоставление Спецодежды, СИЗ;
• График работы: 5/2, пн.-чт.: 8-30/17-30, пятница с 8-30/17-00;
• Место работы: г. Москва, м. Молодежная, ул. Горбунова, д. 2. (15/20 минут от метро на общественном транспорте, или МЦД-1 ст. Сетунь - 5 минут пешим шагом);
• Рассмотрим кандидатов с небольшим опытом работы в химии.
• Наставничество от опытного специалиста!
• Мы будем рады, если Вы станете частью нашей Команды!",Международная Сертификационная компания Таможенного Союза,https://www.superjob.ru/vakansii/laborant-himik-50104861.html,60000,70000,60000,Москва,Лаборант-химик / Лаборант-аналитик
2025-02-11,нет,"Обязанности: 
• Сбор и анализ данных из информационных систем
• Подготовка и формирование оперативной отчётности
• Проведение мониторинга (подготовка, сбор, обработка, анализ) процессов планирования производства
• Внесение предложений по оптимизации процессов планирования производства
• Формирование требований к процессам для автоматизации
• Разработка технических заданий и постановка задач разработчикам
• Организация рабочих групп для выполнения поставленных задач
• Проверка результатов автоматизации процессов, участие в тестирование и доработке технических заданий
• Разработка инструкций и обучение пользователей
 
Требования:
• Высшее экономическое или техническое образование
• Опыт работы в производственной компании от 3-х лет
• Умение работать с большими массивами данных (сбор, обработка, анализ)
• Опыт работы с проектами, включая автоматизацию
• Навыки работы в ERP системах, уверенный пользователь Excel
• Активность и инициативность, аналитический склад ума, ориентированность на результат
 
Условия:
• Оформление в соответствии с ТК РФ, социальный пакет
• График работы 5/2
• Официальная белая заработная плата. Выплачивается своевременно, два раза в месяц
• Возможности профессионального роста и обучения
• Бесплатное питание в нашей корпоративной столовой
• Предоставляется бонусная карта на сумму 2000 рублей на продукцию в фирменных магазинах
• Шаговая доступность от метро Бутырская, ж/д платформы Останкино
• Поддержка семей с детьми-подарки к 1 сентября и Новому году, путевки в летние лагеря
• Корпоративный спорт",Останкинский мясоперерабатывающий холдинг,https://www.superjob.ru/vakansii/analitik-50361297.html,0,0,не указана,Москва,Аналитик
2025-02-11,нет,"Обязанности:
• Проведение медиа аудита (анализ эффективности закупки и планирования рекламного инвентаря в основных диджитал сегментах на этапе планирования и по факту размещения рекламных кампаний)
• Проверка выполнения гарантий по условиям сделок
• Письменная и устная коммуникация с клиентами и агентствами, запрос и сбор данных для аудита
• Ведение базы данных (интеграция данных, редактирование, своевременная актуализация) 
• Сравнительный анализ данных и формирование аудиторского заключения для заказчика в форматах MS pptx / MS excel
• Презентация результатов проведенного анализа заказчику 
Мы ожидаем:
• Опыт работы на позициях Digital Planner / Buyer / Manager не менее 2 лет. Предпочтение отдается сотрудникам с опытом работы в рекламных агентствах.
• Базовые знания по баингу и планированию интернет-кампаний различных типов рекламодателей. Базовые знания особенностей формирования стоимости размещения, влияния различных факторов на ценообразование.
• Опыт получения сертификатов Google / Yandex / VK и работы в соответствующих рекламных кабинетах
• Опыт работы с верификаторами данных (Weborama / Doubleclick / Adriver ) 
• Умение самостоятельно организовывать свой рабочий процесс и ответственно подходить к срокам исполнения проектов 
• Умение работать в режиме многозадачности 
• Участие в тендерных процедурах в качестве независимой третьей стороны и подготовкой рекомендацией для клиента-заказчика
• Сильные навыки тайм-менеджмента, дисциплинированность и ответственность
• Готовность работать с большим объемом данных
• Уверенное понимание рынка digital рекламы, сбор и подготовка аналитических заключений по актуальному состоянию отдельных сегментов Digital рынка
• Продвинутые навыки работы с Microsoft Оffice, в особенности Excel и PowerPoint
• Достаточные презентационные навыки
• Базовые знания английского языка 
• Навыки ведения деловой переписки и коммуникации с клиентами/подрядчиками
Условия:
• Место работы: Москва, м. Тульская
• Занятость: полная занятость – 5/2
• График работы: гибридная – офис/удаленная работа (по согласованию сторон)
• Оформление по ТК РФ;
• Обучение и поддержка при старте работы до 3 мес.
• Испытательный срок 3 месяца",РУСМЕДИААУДИТ,https://www.superjob.ru/vakansii/media-analitik-50361010.html,0,0,не указана,Москва,Медиа-аналитик (диджитал)
2025-02-11,нет,"Обязанности:
• Подготовка аналитических отчетов соблюдая сроки;
• План-факторный анализ данных;
• Формирование консолидированной управленческой отчетности;
• Бюджетирование, контроль внесения бюджетов в 1C, контроль внесения данных по обучающимся в 1C;
• Оценка текущего состояния финансов.
Требования:
• Хорошее знание Excel, умение работать с формулами и сводными таблицами;
• Высшее/неоконченное высшее экономическое образование;
• Желание развиваться и обучаться новому;
• Уверенный пользователь ПК;
• Умение структурировать и анализировать полученную информацию;
• Внимательность к деталям.
Условия:
• Офисный формат работы 5/2 с 9:00 до 18:00 (или с 10:00 до 19:00);
• Официальная заработная плата, стабильные выплаты 2 раза в месяц;
• Официальное оформление по ТК РФ с первого дня, оплата отпусков и больничных;
• Скидки на получение образования в нашем университете;
• Возможность получить уникальный опыт участия в крупных проектах;
• Место работы м. Сокол.",Образовательный холдинг СИНЕРГИЯ,https://www.superjob.ru/vakansii/ekonomist-analitik-50378552.html,0,0,не указана,Москва,Экономист-аналитик
2025-02-14,нет,"Мы — Группа Управляющих компаний. Большая дружелюбная команда профессионалов, искренне любящих свою работу. Успешно занимаемся управлением коммерческой недвижимостью, проектируем здания и сооружения, качественно эксплуатируем различные объекты, имеем собственное производство. Холдинг существует более 20 лет на рынке, и за это время мы успели себя зарекомендовать. Наш штат насчитывает более 600 сотрудников, и мы не планируем останавливаться на достигнутом.
В связи с расширением штата и потребностью в проведении автоматизации процессов на базе «1C:Документооборот», «1C:Управление холдингом», «1C:ERP Управление предприятием», приглашаем соискателей на вакансию Аналитика 1C ERP.
График работы: 5/2 c 09:00 до 18:00.
Формат: офис или гибрид.
Задачи должности:
• Сбор и формализация требований.
• Описание бизнес-процессов as-is/to be.
• Моделирование контрольных примеров.
• Постановка задач разработчикам.
• Контроль реализации, тестирование разработанного функционала.
• Разработка методических материалов для пользователей систем.
• Поддержка пользователей.
 
Требования:
• Опыт работы с 1C:ERP Управление предприятием, 1C:Управление холдингом, в роли аналитика или программиста.
• Опыт автоматизации процессов бюджетирования.
• Умение структурно излагать требования в задачах на разработку;
• Деловые качества: коммуникабельность, исполнительность, пунктуальность, умение работать в команде.
 
Плюсы работы в Группе Управляющих компаний:
• Официальное трудоустройство по ТК РФ, полностью белая з/п.
• Оплачиваемый корпоративный ДМС с широким выбором медицинских учреждений.
• Денежные премии за активное и успешное участие в проектах.
• Стабильное развитие компании на рынке более 20-ти лет.
• Возможность выбора удобного формата работы (офис или гибрид).
• Опытные наставники, которые с радостью помогут вам в адаптации.
• Большой, дружный коллектив.
• Корпоративная связь и интернет.
• Комфортные офисы и производственные помещения.
• Чай/кофе для работников в помещениях для отдыха.
• Столовая.
• Возможность пройти дополнительное обучение, курсы по вашему направлению.
• Работа в 10 минутах пешком от станции метро ""Бухарестская"".
 
Присоединяйся к нашей команде!",Группа Управляющих компаний,https://spb.superjob.ru/vakansii/analitik-1c-erp-50387689.html,200000,220000,200000,Санкт-Петербург,Аналитик 1C ERP
2025-02-16,нет,"Министерство здравоохранения Московской области приглашает на работу Экономиста (внутренний грэйд - Главный аналитик) отдела обеспечения финансово-хозяйственной деятельности и выполнения государственных заданий
Условия:
• Оформление по ТК РФ
• График работы - 5/2 с 9 до 18:00 с присутствием в офисе
• Место работы - комплекс зданий дома правительства Московской области (м. Мякинино - шаговая доступность, м. Тушинская - 15 минут на автобусе)
• Заработная плата - в среднем в месяц по году - 100 000 руб. после вычета налога (ежемесячная выплата+квартальные премии+разовые выплаты к отпуску).
Обязанности:
• анализ финансово-хозяйственной деятельности подведомственных организаций (логический контроль)
• оценка показателей деятельности подведомственных организаций (по критериям оценки);
• подготовка необходимых аналитических, методических, информационных материалов и установленной статистической отчётности;
• подготовка презентационного материала к совещаниям по работе подведомственных организаций;
• работа с объемными базами данных, свод баз данных, анализ и сверка
Требования:
• Оконченное высшее образование (финансы, экономика)
• Опыт работы в гос. секторе (желательно в системе здравоохранения) экономистом не менее 2 лет обязателен
• Владение Microsoft Excel на уровне уверенного пользователя (свод и обработка данных)",ГКУ МО Центр внедрения изменений Министерства здравоохранения Московской области,https://www.superjob.ru/vakansii/glavnyj-analitik-ekonomist-50394279.html,100000,0,100000,Москва,Главный аналитик-экономист
2025-02-16,нет,"КП «УГС» — одна из ведущих строительных организаций столицы, входящих в градостроительный комплекс города Москвы. С 2012 года введено более 600 объектов жилой застройки, объектов образования, административного назначения, культуры и спорта, из них такие знаковые объекты, как, Парк «Зарядье», ММКЦ «Коммунарка», Кластер «Ломоносов», микрорайон на Береговом, Некрасовка.
Для решения этих задач нам требуется Ведущий специалист-аналитик. 
 Готовы предложить кандидату:
• Отличный коллектив: если у тебя недостаточно опыта работы или его пока нет — наши наставники помогут в освоении новых навыков;
• Официальное оформление по ТК РФ, график работы: с 09:00 до 18:00 (понедельник – пятница);
• Перспективы карьерного роста в направлении аналитической работы;
• Прозрачный доход: белая заработная плата, доплата за стаж после 1 года работы.
• Комфортный офис: 7 минут пешком от метро м. Новослободская, рабочие места, оборудованные современной техникой и всем необходимым, WIFI, оборудованные кухонные зоны, столовая и много разных кафе в здании, Делегатский парк в непосредственной близости к офису;
• Возможности градостроительного комплекса:
• повышение квалификации: корпоративное обучение – soft skills, и освоение новых направлений
• корпоративные скидки для покупки ДМС, фитнес, курсы английского, Яндекс практикум, студия рисования, книжные магазины;
• корпоративный спорт, гонка героев, киноклуб, вечера настольных игр;
• сервис психологической и юридической поддержки.
Обязанности:
• Работа с базами данных, контроль заполнения информации по статусам объектов;
• Взаимодействие с работниками структурных подразделений и городских структур по вопросам, входящим в компетенцию;
• Ведение деловой переписки по вопросам реализации строительства и ввода объектов;
• Подготовка аналитических справок/материалов к совещаниям/цикличных и разовых отчетов;
• Работа в Excel, Power Point.
Мы ищем кандидата, который уверенно работает с Excel и может применить базовые принципы аналитической работы для успешного решения поставленных задач. 
• Высшее образование или студенты последних курсов (Статистика/ Информатика/ Экономика/ Строительство/ Программирование, Менеджмент);
• Знание основ сводно-аналитической работы;
• Работа с MS Office (Excel, Power Point);
• Опыт работы в ЕИС «Мосгорзаказ» будет преимуществом. Не работали — научим!",КП Управление гражданского строительства,https://www.superjob.ru/vakansii/veduschij-specialist-analitik-50374532.html,74020,0,74020,Москва,"Ведущий специалист-аналитик, эксперт по анализу данных"
2025-02-17,нет,"На данный момент мы находимся в поисках Главного аналитика в отдел прогнозирования и мониторинга налоговых доходов.
Чем предстоит заниматься:
• Осуществлять факторный анализ влияния изменения экономических показателей на доходы бюджета
• Осуществлять разработку и проведение экспертизы проектов НПА
• Анализировать показатели ФХД организаций
• Анализировать базы данных по налогоплательщикам
• Готовить презентации
Нам важно:
• Высшее образование (финансы, экономика, бухгалтерия)
• Знания бюджетного и налогового законодательств
• Уверенный пользователь MS word, excel, power point – экспертный уровень
• Грамотная письменная и устная речь
• Умение анализировать базы данных и структурировать информацию
• Умение быстро вникать в суть задачи
Мы предлагаем:
• Работа в офисе - ст.м.Мякинино, г.Красногорск, Бульвар Строителей д.1 (Дом Правительства Московской области, 10 минут от метро пешком)
• График работы - пн/чтв, с 09:00-18:00, пт - до 16:45, (готовность задержаться при необходимости)
• ЗП: оклад + квартальная премия + полугодовая выплата к отпуску + годовая премия
• Официальное оформление и выплаты
• Реальные возможности для карьерного и профессионального роста в рамках организации","ГКУ МО ""Централизованная бухгалтерия Московской области""",https://www.superjob.ru/vakansii/analitik-50408105.html,0,0,не указана,Москва,Аналитик (отдел неналоговых доходов)
